index,test_or_train,dialect_region,speaker_id,filename,path_from_data_dir,path_from_data_dir_windows,is_converted_audio,is_audio,is_word_file,is_phonetic_file,is_sentence_file
1.0,TRAIN,DR4,MMDM0,SI681.WAV.wav,TRAIN/DR4/MMDM0/SI681.WAV.wav,TRAIN\\DR4\\MMDM0\\SI681.WAV.wav,True,True,False,False,False
2.0,TRAIN,DR4,MMDM0,SI1311.PHN,TRAIN/DR4/MMDM0/SI1311.PHN,TRAIN\\DR4\\MMDM0\\SI1311.PHN,False,False,False,True,False
3.0,TRAIN,DR4,MMDM0,SI1311.WRD,TRAIN/DR4/MMDM0/SI1311.WRD,TRAIN\\DR4\\MMDM0\\SI1311.WRD,False,False,True,False,False
4.0,TRAIN,DR4,MMDM0,SX321.PHN,TRAIN/DR4/MMDM0/SX321.PHN,TRAIN\\DR4\\MMDM0\\SX321.PHN,False,False,False,True,False
5.0,TRAIN,DR4,MMDM0,SX321.WRD,TRAIN/DR4/MMDM0/SX321.WRD,TRAIN\\DR4\\MMDM0\\SX321.WRD,False,False,True,False,False
6.0,TRAIN,DR4,MMDM0,SI681.TXT,TRAIN/DR4/MMDM0/SI681.TXT,TRAIN\\DR4\\MMDM0\\SI681.TXT,False,False,False,False,True
7.0,TRAIN,DR4,MMDM0,SI1311.WAV.wav,TRAIN/DR4/MMDM0/SI1311.WAV.wav,TRAIN\\DR4\\MMDM0\\SI1311.WAV.wav,True,True,False,False,False
8.0,TRAIN,DR4,MMDM0,SI681.WAV,TRAIN/DR4/MMDM0/SI681.WAV,TRAIN\\DR4\\MMDM0\\SI681.WAV,False,True,False,False,False
9.0,TRAIN,DR4,MMDM0,SX51.PHN,TRAIN/DR4/MMDM0/SX51.PHN,TRAIN\\DR4\\MMDM0\\SX51.PHN,False,False,False,True,False
10.0,TRAIN,DR4,MMDM0,SX231.WRD,TRAIN/DR4/MMDM0/SX231.WRD,TRAIN\\DR4\\MMDM0\\SX231.WRD,False,False,True,False,False
11.0,TRAIN,DR4,MMDM0,SX141.WAV.wav,TRAIN/DR4/MMDM0/SX141.WAV.wav,TRAIN\\DR4\\MMDM0\\SX141.WAV.wav,True,True,False,False,False
12.0,TRAIN,DR4,MMDM0,SX51.WRD,TRAIN/DR4/MMDM0/SX51.WRD,TRAIN\\DR4\\MMDM0\\SX51.WRD,False,False,True,False,False
13.0,TRAIN,DR4,MMDM0,SX231.PHN,TRAIN/DR4/MMDM0/SX231.PHN,TRAIN\\DR4\\MMDM0\\SX231.PHN,False,False,False,True,False
14.0,TRAIN,DR4,MMDM0,SX51.WAV.wav,TRAIN/DR4/MMDM0/SX51.WAV.wav,TRAIN\\DR4\\MMDM0\\SX51.WAV.wav,True,True,False,False,False
15.0,TRAIN,DR4,MMDM0,SI1941.WRD,TRAIN/DR4/MMDM0/SI1941.WRD,TRAIN\\DR4\\MMDM0\\SI1941.WRD,False,False,True,False,False
16.0,TRAIN,DR4,MMDM0,SX141.WRD,TRAIN/DR4/MMDM0/SX141.WRD,TRAIN\\DR4\\MMDM0\\SX141.WRD,False,False,True,False,False
17.0,TRAIN,DR4,MMDM0,SA1.TXT,TRAIN/DR4/MMDM0/SA1.TXT,TRAIN\\DR4\\MMDM0\\SA1.TXT,False,False,False,False,True
18.0,TRAIN,DR4,MMDM0,SA2.WAV,TRAIN/DR4/MMDM0/SA2.WAV,TRAIN\\DR4\\MMDM0\\SA2.WAV,False,True,False,False,False
19.0,TRAIN,DR4,MMDM0,SX141.PHN,TRAIN/DR4/MMDM0/SX141.PHN,TRAIN\\DR4\\MMDM0\\SX141.PHN,False,False,False,True,False
20.0,TRAIN,DR4,MMDM0,SX411.WAV,TRAIN/DR4/MMDM0/SX411.WAV,TRAIN\\DR4\\MMDM0\\SX411.WAV,False,True,False,False,False
21.0,TRAIN,DR4,MMDM0,SI1941.PHN,TRAIN/DR4/MMDM0/SI1941.PHN,TRAIN\\DR4\\MMDM0\\SI1941.PHN,False,False,False,True,False
22.0,TRAIN,DR4,MMDM0,SA2.TXT,TRAIN/DR4/MMDM0/SA2.TXT,TRAIN\\DR4\\MMDM0\\SA2.TXT,False,False,False,False,True
23.0,TRAIN,DR4,MMDM0,SA1.WAV,TRAIN/DR4/MMDM0/SA1.WAV,TRAIN\\DR4\\MMDM0\\SA1.WAV,False,True,False,False,False
24.0,TRAIN,DR4,MMDM0,SX411.WAV.wav,TRAIN/DR4/MMDM0/SX411.WAV.wav,TRAIN\\DR4\\MMDM0\\SX411.WAV.wav,True,True,False,False,False
25.0,TRAIN,DR4,MMDM0,SX411.TXT,TRAIN/DR4/MMDM0/SX411.TXT,TRAIN\\DR4\\MMDM0\\SX411.TXT,False,False,False,False,True
26.0,TRAIN,DR4,MMDM0,SX231.WAV,TRAIN/DR4/MMDM0/SX231.WAV,TRAIN\\DR4\\MMDM0\\SX231.WAV,False,True,False,False,False
27.0,TRAIN,DR4,MMDM0,SX51.WAV,TRAIN/DR4/MMDM0/SX51.WAV,TRAIN\\DR4\\MMDM0\\SX51.WAV,False,True,False,False,False
28.0,TRAIN,DR4,MMDM0,SX231.TXT,TRAIN/DR4/MMDM0/SX231.TXT,TRAIN\\DR4\\MMDM0\\SX231.TXT,False,False,False,False,True
29.0,TRAIN,DR4,MMDM0,SI1941.WAV.wav,TRAIN/DR4/MMDM0/SI1941.WAV.wav,TRAIN\\DR4\\MMDM0\\SI1941.WAV.wav,True,True,False,False,False
30.0,TRAIN,DR4,MMDM0,SX51.TXT,TRAIN/DR4/MMDM0/SX51.TXT,TRAIN\\DR4\\MMDM0\\SX51.TXT,False,False,False,False,True
31.0,TRAIN,DR4,MMDM0,SX141.WAV,TRAIN/DR4/MMDM0/SX141.WAV,TRAIN\\DR4\\MMDM0\\SX141.WAV,False,True,False,False,False
32.0,TRAIN,DR4,MMDM0,SA2.PHN,TRAIN/DR4/MMDM0/SA2.PHN,TRAIN\\DR4\\MMDM0\\SA2.PHN,False,False,False,True,False
33.0,TRAIN,DR4,MMDM0,SX321.WAV.wav,TRAIN/DR4/MMDM0/SX321.WAV.wav,TRAIN\\DR4\\MMDM0\\SX321.WAV.wav,True,True,False,False,False
34.0,TRAIN,DR4,MMDM0,SI1941.WAV,TRAIN/DR4/MMDM0/SI1941.WAV,TRAIN\\DR4\\MMDM0\\SI1941.WAV,False,True,False,False,False
35.0,TRAIN,DR4,MMDM0,SX411.PHN,TRAIN/DR4/MMDM0/SX411.PHN,TRAIN\\DR4\\MMDM0\\SX411.PHN,False,False,False,True,False
36.0,TRAIN,DR4,MMDM0,SX411.WRD,TRAIN/DR4/MMDM0/SX411.WRD,TRAIN\\DR4\\MMDM0\\SX411.WRD,False,False,True,False,False
37.0,TRAIN,DR4,MMDM0,SA2.WRD,TRAIN/DR4/MMDM0/SA2.WRD,TRAIN\\DR4\\MMDM0\\SA2.WRD,False,False,True,False,False
38.0,TRAIN,DR4,MMDM0,SX141.TXT,TRAIN/DR4/MMDM0/SX141.TXT,TRAIN\\DR4\\MMDM0\\SX141.TXT,False,False,False,False,True
39.0,TRAIN,DR4,MMDM0,SA1.WAV.wav,TRAIN/DR4/MMDM0/SA1.WAV.wav,TRAIN\\DR4\\MMDM0\\SA1.WAV.wav,True,True,False,False,False
40.0,TRAIN,DR4,MMDM0,SA1.PHN,TRAIN/DR4/MMDM0/SA1.PHN,TRAIN\\DR4\\MMDM0\\SA1.PHN,False,False,False,True,False
41.0,TRAIN,DR4,MMDM0,SI1941.TXT,TRAIN/DR4/MMDM0/SI1941.TXT,TRAIN\\DR4\\MMDM0\\SI1941.TXT,False,False,False,False,True
42.0,TRAIN,DR4,MMDM0,SA1.WRD,TRAIN/DR4/MMDM0/SA1.WRD,TRAIN\\DR4\\MMDM0\\SA1.WRD,False,False,True,False,False
43.0,TRAIN,DR4,MMDM0,SI1311.TXT,TRAIN/DR4/MMDM0/SI1311.TXT,TRAIN\\DR4\\MMDM0\\SI1311.TXT,False,False,False,False,True
44.0,TRAIN,DR4,MMDM0,SI1311.WAV,TRAIN/DR4/MMDM0/SI1311.WAV,TRAIN\\DR4\\MMDM0\\SI1311.WAV,False,True,False,False,False
45.0,TRAIN,DR4,MMDM0,SX231.WAV.wav,TRAIN/DR4/MMDM0/SX231.WAV.wav,TRAIN\\DR4\\MMDM0\\SX231.WAV.wav,True,True,False,False,False
46.0,TRAIN,DR4,MMDM0,SA2.WAV.wav,TRAIN/DR4/MMDM0/SA2.WAV.wav,TRAIN\\DR4\\MMDM0\\SA2.WAV.wav,True,True,False,False,False
47.0,TRAIN,DR4,MMDM0,SX321.WAV,TRAIN/DR4/MMDM0/SX321.WAV,TRAIN\\DR4\\MMDM0\\SX321.WAV,False,True,False,False,False
48.0,TRAIN,DR4,MMDM0,SI681.PHN,TRAIN/DR4/MMDM0/SI681.PHN,TRAIN\\DR4\\MMDM0\\SI681.PHN,False,False,False,True,False
49.0,TRAIN,DR4,MMDM0,SI681.WRD,TRAIN/DR4/MMDM0/SI681.WRD,TRAIN\\DR4\\MMDM0\\SI681.WRD,False,False,True,False,False
50.0,TRAIN,DR4,MMDM0,SX321.TXT,TRAIN/DR4/MMDM0/SX321.TXT,TRAIN\\DR4\\MMDM0\\SX321.TXT,False,False,False,False,True
51.0,TRAIN,DR4,MCSS0,SX30.WAV.wav,TRAIN/DR4/MCSS0/SX30.WAV.wav,TRAIN\\DR4\\MCSS0\\SX30.WAV.wav,True,True,False,False,False
