audio_path,text,start,end
data/TRAIN/DR4/MCSS0/SX300.WAV,_amoebas_,2240,10750
data/TRAIN/DR4/MCSS0/SX300.WAV,_change_,10750,17253
data/TRAIN/DR4/MCSS0/SX300.WAV,_shape_,17253,24660
data/TRAIN/DR4/MCSS0/SX300.WAV,_constantly_,24660,34600
data/TRAIN/DR4/MCSS0/SX210.WAV,_jeffs_,2220,7520
data/TRAIN/DR4/MCSS0/SX210.WAV,_toy_,7520,12760
data/TRAIN/DR4/MCSS0/SX210.WAV,_go_,12760,16880
data/TRAIN/DR4/MCSS0/SX210.WAV,_cart_,16880,22291
data/TRAIN/DR4/MCSS0/SX210.WAV,_never_,22291,27947
data/TRAIN/DR4/MCSS0/SX210.WAV,_worked_,27947,35383
data/TRAIN/DR4/MCSS0/SI750.WAV,_add_,2160,5085
data/TRAIN/DR4/MCSS0/SI750.WAV,_a_,5085,5973
data/TRAIN/DR4/MCSS0/SI750.WAV,_few_,5973,10193
data/TRAIN/DR4/MCSS0/SI750.WAV,_caraway_,10193,19540
data/TRAIN/DR4/MCSS0/SI750.WAV,_seeds_,19540,27362
data/TRAIN/DR4/MCSS0/SI750.WAV,_too_,27362,31331
data/TRAIN/DR4/MCSS0/SI750.WAV,_if_,31331,34506
data/TRAIN/DR4/MCSS0/SI750.WAV,_youd_,34506,36637
data/TRAIN/DR4/MCSS0/SI750.WAV,_like_,36637,42200
data/TRAIN/DR4/MCSS0/SI1380.WAV,_there_,2181,5681
data/TRAIN/DR4/MCSS0/SI1380.WAV,_is_,5681,8187
data/TRAIN/DR4/MCSS0/SI1380.WAV,_little_,8187,13080
data/TRAIN/DR4/MCSS0/SI1380.WAV,_doubt_,13080,19640
data/TRAIN/DR4/MCSS0/SI1380.WAV,_that_,19640,22190
data/TRAIN/DR4/MCSS0/SI1380.WAV,_the_,22190,23110
data/TRAIN/DR4/MCSS0/SI1380.WAV,_students_,23110,30872
data/TRAIN/DR4/MCSS0/SI1380.WAV,_benefit_,30872,39728
data/TRAIN/DR4/MCSS0/SI1380.WAV,_from_,39728,43632
data/TRAIN/DR4/MCSS0/SI1380.WAV,_vocational_,43632,55140
data/TRAIN/DR4/MCSS0/SI1380.WAV,_education_,55140,66120
data/TRAIN/DR4/MCSS0/SX390.WAV,_he_,1879,4280
